Education,Has_Partner,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Spent,Spending_Ratio,Children_Home,Customer_Tenure_Days
Graduation,1,65031,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,55,863,0.013270594024388368,1,469
PhD,1,60631,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,39,661,0.01090201382131253,2,450
Graduation,1,28332,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,62,65,0.00229422561061697,0,60
Graduation,0,40246,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,37,13,0.0003230134671768623,1,557
Master,1,75251,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,42,1890,0.025115945303052452,0,671
Graduation,0,75825,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,38,2209,0.02913287174414771,0,625
2n Cycle,1,26326,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,38,18,0.0006837347109321583,0,298
Graduation,1,56046,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,49,692,0.012347000678014489,0,543
Graduation,0,29760,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,29,165,0.005544354838709678,1,669
Graduation,1,26304,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,45,16,0.0006082725060827251,1,371
2n Cycle,1,23559,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,41,79,0.0033532832463177556,1,361
Master,1,38620,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,318,0.008234075608493008,0,414
Graduation,0,81361,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,27,778,0.009562321013753518,0,124
Graduation,1,29440,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,54,56,0.0019021739130434783,2,322
Master,1,36138,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,44,151,0.004178427140406221,2,348
Graduation,0,50388,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,57,372,0.007382710169087878,1,32
Graduation,1,79593,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,41,1366,0.01716231326875479,0,48
Graduation,1,54178,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,47,194,0.0035807892502491786,1,159
Master,0,42394,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,42,32,0.0007548237958201632,1,98
PhD,1,23626,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,44,43,0.0018200287818505036,1,36
Graduation,1,30096,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,31,45,0.0014952153110047847,1,38
Graduation,0,47916,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,54,606,0.012647132481843225,1,584
Graduation,0,51813,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,42,63,0.0012159110647906896,2,444
2n Cycle,1,78497,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,63,978,0.012459074869103278,0,210
PhD,1,50150,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,31,410,0.008175473579262214,0,374
2n Cycle,0,47823,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,54,72,0.001505551721974782,1,341
PhD,0,34554,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,55,0.0015917115239914338,1,91
Graduation,1,85693,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,35,1169,0.013641721027388469,1,435
PhD,1,65846,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,69,1120,0.017009385535947514,0,408
Graduation,1,87195,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,55,1097,0.012580996616778485,0,52
Basic,1,24594,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,35,29,0.0011791493860291128,1,201
Graduation,1,49096,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,50,187,0.003808864265927978,2,278
Graduation,1,52413,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,45,910,0.017362104821322954,2,512
Graduation,0,38557,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,36,145,0.0037606660269211816,1,557
Master,1,89058,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,54,850,0.009544341889555122,0,569
Graduation,1,77298,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,35,969,0.012535900023286502,1,239
PhD,0,68126,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,23,1820,0.026715204180489095,0,596
Master,1,57288,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,51,608,0.010613042871107387,1,4
Graduation,0,86037,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,23,730,0.008484721689505677,0,543
PhD,1,43974,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,34,551,0.012530131441306226,1,564
Graduation,0,50785,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,52,114,0.0022447573102293986,2,292
Graduation,1,90765,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,44,1724,0.018994105657467085,0,156
2n Cycle,1,36550,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,36,577,0.015786593707250343,1,495
2n Cycle,1,30753,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,47,81,0.0026338893766461808,2,353
Graduation,1,21918,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,45,33,0.0015056118258965235,1,227
Master,1,56129,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,61,660,0.01175862744748704,1,374
Master,0,32557,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,47,80,0.0024572288601529624,1,125
Master,1,19510,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,29,30,0.0015376729882111738,2,298
Graduation,0,30992,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,38,43,0.0013874548270521425,1,433
Graduation,0,101970,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,31,1135,0.011130724722957733,0,474
2n Cycle,1,71488,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,49,559,0.00781949418084154,0,496
Graduation,0,79607,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,30,1923,0.024156167171228662,0,434
Master,1,54348,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,61,90,0.0016559947008169575,2,21
PhD,1,77376,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,58,661,0.008542700578990902,2,50
Graduation,1,62998,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,62,463,0.007349439664751262,1,272
Master,0,61331,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,56,632,0.010304739854233585,2,476
Graduation,1,73448,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,45,725,0.009870929092691428,0,139
PhD,1,41551,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,50,279,0.006714639840196385,2,319
PhD,1,62981,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,47,1482,0.02353090614629809,0,469
Basic,0,9548,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,38,29,0.0030372852953498117,1,690
PhD,1,33762,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,55,106,0.003139624429832356,3,357
PhD,0,35860,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,41,49,0.0013664249860568878,2,41
PhD,0,36921,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,49,38,0.0010292245605481975,2,336
Master,0,92859,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,22,2077,0.02236724496279305,0,618
Master,1,65104,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,38,1053,0.016174121405750797,1,227
Graduation,1,86111,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,52,1385,0.016083891721150607,0,436
PhD,0,68352,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,40,871,0.012742860486891387,1,305
Graduation,1,41883,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,26,312,0.007449323114390087,1,467
Graduation,1,59809,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,38,877,0.01466334498152452,2,619
Graduation,1,23957,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,39,68,0.002838418833743791,1,609
Graduation,1,38547,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,33,22,0.0005707318338651516,1,305
2n Cycle,1,35688,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,41,211,0.005912351490697153,3,676
Master,1,49605,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,48,127,0.0025602257836911603,0,8
Master,1,59354,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,61,459,0.007733261448259595,2,66
Graduation,1,65747,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,45,460,0.006996516951343788,1,114
2n Cycle,1,46344,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,42,429,0.009256861729673745,1,562
Graduation,0,34176,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,26,89,0.0026041666666666665,1,48
PhD,1,61010,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,62,1021,0.016734961481724306,1,628
Graduation,1,69372,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,65,1381,0.01990716715677795,0,495
Graduation,0,49967,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,56,306,0.006124041867632638,1,356
Graduation,0,60199,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,36,18,0.0002990082891742388,3,290
Graduation,1,55375,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,37,162,0.0029255079006772007,1,255
Graduation,0,80317,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,59,1231,0.015326767683055891,0,313
Master,0,30523,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,56,13,0.0004259083314222062,3,363
PhD,1,70356,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,69,1706,0.024248109613963273,0,601
Graduation,1,23228,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,30,121,0.0052092302393662825,1,175
PhD,0,74165,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,39,1293,0.0174340996426886,0,424
PhD,1,157243,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,41,1608,0.01022621038774381,1,120
Graduation,1,43482,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,48,88,0.002023825950968217,3,228
Graduation,0,62551,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,61,421,0.006730507905549072,0,223
Graduation,0,52332,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,55,259,0.004949170679507758,0,305
Graduation,0,66951,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,26,1117,0.016683843407865454,0,239
Graduation,1,26091,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,57,89,0.0034111379402859223,2,124
Graduation,1,33456,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,49,36,0.0010760401721664275,2,69
Graduation,1,28718,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,32,57,0.001984817884253778,1,351
Graduation,1,50447,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,44,148,0.0029337720776260235,2,69
PhD,1,53537,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,55,93,0.0017371163867979154,2,150
Graduation,0,52074,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,47,119,0.0022852095095441103,1,86
PhD,1,80427,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,39,1835,0.022815721088689123,1,655
PhD,1,83837,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,66,1318,0.01572098238248029,0,560
PhD,1,38853,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,44,45,0.0011582117211026176,2,37
Graduation,1,38285,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,55,10,0.0002611989029646076,3,5
2n Cycle,1,78497,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,63,978,0.012459074869103278,0,210
PhD,1,51650,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,38,191,0.0036979670861568247,1,49
2n Cycle,1,16248,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,26,57,0.0035081240768094534,1,50
Master,1,66835,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,68,1033,0.015455973666492108,0,274
Master,1,30477,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,30,66,0.002165567477113889,1,158
Basic,1,28249,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,53,43,0.0015221777762044674,0,14
Graduation,1,25271,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,31,50,0.001978552490997586,1,571
PhD,0,32303,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,44,39,0.001207318205739405,1,113
Graduation,1,61286,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,48,608,0.009920699670397807,1,331
Graduation,1,74068,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,38,1581,0.021345250310525463,0,467
PhD,1,45759,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,50,68,0.0014860464608055246,2,491
Basic,1,24882,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,36,80,0.0032151756289687324,1,658
PhD,1,66973,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,25,1282,0.019142042315560003,0,408
2n Cycle,0,36640,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,0,114,65,0.0017740174672489083,1,276
Graduation,1,38872,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,26,91,0.0023410166700967277,1,395
Graduation,1,51148,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,41,315,0.00615859857667944,2,496
Graduation,1,31353,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,37,31,0.000988741109303735,2,182
Master,1,69661,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,34,834,0.01197226568668265,0,47
Graduation,1,80067,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,60,1600,0.019983264016386275,0,283
Graduation,1,86718,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,60,1270,0.01464517170598953,0,528
PhD,0,46854,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,41,263,0.005613181371921287,2,90
Graduation,0,69142,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,62,535,0.007737699227676376,1,0
Graduation,0,75922,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,46,1295,0.017056979531624564,0,202
Graduation,0,63693,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,36,1150,0.018055359301650104,1,258
PhD,1,102160,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,37,1240,0.012137823022709476,0,604
PhD,0,40637,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,49,38,0.0009351083987499077,2,347
Master,0,18890,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,30,35,0.0018528321863419798,0,596
Graduation,1,29604,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,26,53,0.0017902986082961763,1,203
Master,0,48721,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,51,293,0.006013833870404959,2,412
Graduation,1,44794,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,48,65,0.0014510871991784615,1,21
Graduation,0,64497,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,60,1804,0.02797029319193141,1,657
Graduation,1,46097,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,58,241,0.005228105950495694,1,455
Graduation,1,77972,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,60,1101,0.014120453496126815,0,103
PhD,1,44377,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,46,264,0.005949027649458052,2,632
Master,1,46014,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0,40,541,0.011757291259181988,2,524
Graduation,1,70951,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,29,1198,0.016884892390523036,0,421
Graduation,1,41443,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,37,482,0.01163043215983399,1,89
2n Cycle,0,52195,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,36,17,0.00032570169556470925,3,48
Master,1,83790,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,66,1615,0.01927437641723356,0,226
Master,0,44551,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0,60,285,0.0063971628021817694,1,302
