Education,Has_Partner,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Spent,Spending_Ratio,Children_Home,Customer_Tenure_Days,Family_Size,Income_per_Capita,Spend_per_Capita,Dependency_Ratio,Wines_Share,Fruits_Share,Meat_Share,Fish_Share,Sweets_Share,Gold_Share,Num_Categories_Active,Category_Concentration,Premium_Tilt,Total_Purchases,Avg_Spend_per_Purchase,Web_Share,Catalog_Share,Store_Share,Deals_Share,Past_Accepted,Ever_Accepted_Past,Campaign_Accept_Rate,Tenure_Months,Frequency_pm,Monetary,log_Monetary,Recency_Bin,R_score,F_score,M_score,RFM_Total,log_Income,log_Total_Spent,Income_x_HasPartner,Age_x_WebShare,Age_Bin,Income_q
Basic,1,7500,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,61,0.0081333333333333,0,593,2,3750.0,30.5,0.0,0.09836065573770492,0.26229508196721313,0.18032786885245902,0.18032786885245902,0.01639344262295082,0.26229508196721313,6,0.21257726417629672,0.36065573770491804,5,12.2,0.4,0.0,0.6,0.2,0,0,0.0,20.0,0.25,61,4.127134385045092,31-90 (Warm),2.0,1.0,2.0,5.0,8.922791623969637,4.127134385045092,7500,15.200000000000001,30-44,0
Graduation,0,63033,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,1102,0.0174829057795123,0,226,1,63033.0,1102.0,0.0,0.17604355716878403,0.05535390199637023,0.4355716878402904,0.20417422867513613,0.10163339382940109,0.02722323049001815,6,0.2765356504095836,0.20326678765880218,15,73.46666666666667,0.2,0.26666666666666666,0.5333333333333333,0.06666666666666667,0,0,0.0,8.0,1.875,1102,7.005789019253503,31-90 (Warm),1.0,4.0,4.0,9.0,11.051429542337106,7.005789019253503,0,11.0,45-59,3
Master,0,59354,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,310,0.0052228998888027,2,226,3,19784.666666666668,103.33333333333333,0.6666666666666666,0.7516129032258064,0.0064516129032258064,0.17096774193548386,0.00967741935483871,0.016129032258064516,0.04516129032258064,6,0.5965868886576483,0.7967741935483871,12,25.833333333333332,0.5,0.08333333333333333,0.4166666666666667,0.25,0,0,0.0,8.0,1.5,310,5.739792912179234,31-90 (Warm),3.0,4.0,3.0,10.0,10.991291642487635,5.739792912179234,0,31.0,60+,3
Graduation,1,17323,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,46,0.0026554291981758,0,627,2,8661.5,23.0,0.0,0.06521739130434782,0.30434782608695654,0.3695652173913043,0.13043478260869565,0.021739130434782608,0.10869565217391304,6,0.2627599243856333,0.17391304347826086,4,11.5,0.25,0.0,0.75,0.25,0,0,0.0,21.0,0.19047619047619047,46,3.8501476017100584,31-90 (Warm),4.0,1.0,1.0,6.0,9.759848102334518,3.8501476017100584,17323,6.75,18-29,0
PhD,0,82800,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,1315,0.0158816425120772,0,582,1,82800.0,1315.0,0.0,0.7650190114068441,0.016730038022813688,0.08745247148288973,0.044866920152091254,0.05171102661596958,0.034220532319391636,6,0.5990400323844497,0.7992395437262357,25,52.6,0.28,0.24,0.48,0.04,2,1,0.4,19.0,1.3157894736842106,1315,7.182352111885263,0-30 (Hot),4.0,4.0,5.0,13.0,11.324195417595107,7.182352111885263,0,19.040000000000003,60+,4
Graduation,1,41850,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,96,0.0022939068100358,2,552,4,10462.5,24.0,0.5,0.5520833333333334,0.052083333333333336,0.19791666666666666,0.020833333333333332,0.13541666666666666,0.041666666666666664,6,0.3671875,0.59375,6,16.0,0.5,0.0,0.5,0.5,0,0,0.0,18.0,0.3333333333333333,96,4.574710978503383,31-90 (Warm),3.0,1.0,2.0,6.0,10.641870970494749,4.574710978503383,41850,17.0,30-44,1
Graduation,1,37760,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,317,0.008395127118644,0,667,2,18880.0,158.5,0.0,0.26498422712933756,0.015772870662460567,0.11987381703470032,0.47318611987381703,0.03785488958990536,0.08832807570977919,6,0.3179751017524306,0.35331230283911674,11,28.818181818181817,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.18181818181818182,0,0,0.0,22.0,0.5,317,5.762051382780177,0-30 (Hot),4.0,2.0,3.0,9.0,10.539032102959615,5.762051382780177,37760,24.727272727272727,60+,1
Master,1,76995,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,65,1782,0.0231443600233781,1,458,3,25665.0,594.0,0.3333333333333333,0.5679012345679012,0.04489337822671156,0.27946127946127947,0.0,0.008978675645342313,0.09876543209876543,5,0.4124610615444884,0.6666666666666666,24,74.25,0.4583333333333333,0.16666666666666666,0.375,0.08333333333333333,1,1,0.2,15.0,1.6,1782,7.48605261786314,>90 (Cold),1.0,4.0,5.0,10.0,11.251508751434526,7.48605261786314,76995,29.791666666666664,60+,4
2n Cycle,0,33812,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,29,133,0.0039335147284987,1,603,2,16906.0,66.5,0.5,0.03007518796992481,0.12781954887218044,0.14285714285714285,0.22556390977443608,0.18045112781954886,0.2932330827067669,6,0.20707784498841086,0.3233082706766917,6,22.166666666666668,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0,0,0.0,20.0,0.3,133,4.897839799950911,31-90 (Warm),1.0,1.0,2.0,4.0,10.428600622910189,4.897839799950911,0,9.666666666666666,18-29,1
Graduation,1,37040,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,32,316,0.0085313174946004,0,690,2,18520.0,158.0,0.0,0.2721518987341772,0.006329113924050633,0.2310126582278481,0.21835443037974683,0.12025316455696203,0.1518987341772152,6,0.21268626822624578,0.4240506329113924,11,28.727272727272727,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.09090909090909091,0,0,0.0,23.0,0.4782608695652174,316,5.75890177387728,31-90 (Warm),3.0,1.0,3.0,7.0,10.519780686235853,5.75890177387728,37040,11.636363636363637,30-44,1
Graduation,1,2447,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,35,1730,0.7069881487535759,1,539,3,815.6666666666666,576.6666666666666,0.3333333333333333,0.0005780346820809249,0.0005780346820809249,0.9971098265895953,0.0005780346820809249,0.0005780346820809249,0.0005780346820809249,6,0.9942296769020015,0.0011560693641618498,28,61.785714285714285,0.0,1.0,0.0,0.5357142857142857,0,0,0.0,18.0,1.5555555555555556,1730,7.456454555176209,31-90 (Warm),3.0,4.0,5.0,12.0,7.803026643632217,7.456454555176209,2447,0.0,30-44,0
PhD,1,58607,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,65,972,0.0165850495674578,1,553,3,19535.666666666668,324.0,0.3333333333333333,0.8919753086419753,0.0,0.08847736625514403,0.0,0.0,0.01954732510288066,3,0.8038302934850716,0.911522633744856,14,69.42857142857143,0.14285714285714285,0.21428571428571427,0.6428571428571429,0.21428571428571427,1,1,0.2,18.0,0.7777777777777778,972,6.880384082186005,31-90 (Warm),2.0,2.0,4.0,8.0,10.978626485018596,6.880384082186005,58607,9.285714285714285,60+,3
PhD,1,65324,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,544,0.0083277202865715,1,169,3,21774.666666666668,181.33333333333334,0.3333333333333333,0.7058823529411765,0.0,0.1875,0.03860294117647059,0.058823529411764705,0.009191176470588236,5,0.5384610185986161,0.7150735294117647,17,32.0,0.35294117647058826,0.11764705882352941,0.5294117647058824,0.17647058823529413,0,0,0.0,6.0,2.8333333333333335,544,6.300785794663244,0-30 (Hot),5.0,5.0,3.0,13.0,11.087130090388813,6.300785794663244,65324,21.176470588235297,60+,3
Graduation,1,40689,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,444,0.0109120401091204,1,468,3,13563.0,148.0,0.3333333333333333,0.6081081081081081,0.006756756756756757,0.060810810810810814,0.08783783783783784,0.013513513513513514,0.22297297297297297,6,0.43115412710007306,0.831081081081081,13,34.15384615384615,0.5384615384615384,0.07692307692307693,0.38461538461538464,0.5384615384615384,0,0,0.0,16.0,0.8125,444,6.09807428216624,31-90 (Warm),2.0,2.0,3.0,7.0,10.613737640995735,6.09807428216624,40689,33.92307692307692,60+,1
Graduation,0,18589,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,45,75,0.0040346441443864,0,543,1,18589.0,75.0,0.0,0.08,0.05333333333333334,0.3333333333333333,0.2,0.16,0.17333333333333334,6,0.21600000000000003,0.25333333333333335,6,12.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0,0,0.0,18.0,0.3333333333333333,75,4.330733340286331,31-90 (Warm),1.0,1.0,2.0,4.0,9.83037908071549,4.330733340286331,0,15.0,45-59,0
Graduation,1,53359,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,38,257,0.0048164320920556,2,398,4,13339.75,64.25,0.5,0.6731517509727627,0.01556420233463035,0.11673151750972763,0.011673151750972763,0.023346303501945526,0.15953307392996108,6,0.4931338854486821,0.8326848249027238,10,25.7,0.5,0.1,0.4,0.4,0,0,0.0,13.0,0.7692307692307693,257,5.552959584921617,0-30 (Hot),5.0,2.0,3.0,10.0,10.884816680589505,5.552959584921617,53359,19.0,30-44,2
Graduation,1,38360,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,25,131,0.003415015641293,1,394,3,12786.666666666666,43.666666666666664,0.3333333333333333,0.2748091603053435,0.015267175572519083,0.32061068702290074,0.15267175572519084,0.16030534351145037,0.07633587786259542,6,0.23337800827457605,0.3511450381679389,7,18.714285714285715,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857,0,0,0.0,13.0,0.5384615384615384,131,4.882801922586371,0-30 (Hot),4.0,2.0,2.0,8.0,10.554796597479278,4.882801922586371,38360,7.142857142857142,18-29,1
PhD,1,84618,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,49,1672,0.0197593892552412,0,219,2,42309.0,836.0,0.0,0.4090909090909091,0.05980861244019139,0.47906698564593303,0.012559808612440191,0.039473684210526314,0.0,5,0.4021535392962616,0.4090909090909091,25,66.88,0.24,0.36,0.4,0.04,1,1,0.2,7.0,3.5714285714285716,1672,7.422373700986824,>90 (Cold),1.0,5.0,5.0,11.0,11.345914106667006,7.422373700986824,84618,11.76,45-59,4
Master,0,10979,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,30,0.0027324892977502,0,38,1,10979.0,30.0,0.0,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,6,0.22666666666666668,0.4,6,5.0,0.5,0.0,0.5,0.3333333333333333,0,0,0.0,1.0,6.0,30,3.4339872044851463,31-90 (Warm),4.0,5.0,1.0,10.0,9.30383071506352,3.4339872044851463,0,12.5,18-29,0
Master,1,38620,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,318,0.008234075608493,0,414,2,19310.0,159.0,0.0,0.3522012578616352,0.05345911949685535,0.13836477987421383,0.1069182389937107,0.06918238993710692,0.279874213836478,6,0.24059570428384952,0.6320754716981132,10,31.8,0.2,0.5,0.3,0.1,0,0,0.0,14.0,0.7142857142857143,318,5.765191102784844,31-90 (Warm),3.0,2.0,3.0,8.0,10.561551448966803,5.765191102784844,38620,10.200000000000001,45-59,1
Graduation,1,40548,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,44,120,0.0029594554601953,1,627,3,13516.0,40.0,0.3333333333333333,0.9166666666666666,0.0,0.041666666666666664,0.016666666666666666,0.0,0.025,4,0.8429166666666666,0.9416666666666667,7,17.142857142857142,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857,1,1,0.2,21.0,0.3333333333333333,120,4.795790545596741,31-90 (Warm),4.0,1.0,2.0,7.0,10.61026639832702,4.795790545596741,40548,12.571428571428571,30-44,1
PhD,0,46610,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,62,302,0.0064792962883501,2,608,3,15536.666666666666,100.66666666666667,0.6666666666666666,0.31788079470198677,0.039735099337748346,0.31788079470198677,0.10927152317880795,0.0728476821192053,0.1423841059602649,6,0.24119556159817554,0.4602649006622517,11,27.454545454545453,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.5454545454545454,0,0,0.0,20.0,0.55,302,5.713732805509369,0-30 (Hot),5.0,2.0,3.0,10.0,10.749591843760111,5.713732805509369,0,22.545454545454547,60+,2
Master,1,68657,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,68,1196,0.0174199280481232,0,494,2,34328.5,598.0,0.0,0.40301003344481606,0.028428093645484948,0.39381270903010035,0.09949832775919733,0.056856187290969896,0.01839464882943144,6,0.33178459972483537,0.4214046822742475,17,70.3529411764706,0.17647058823529413,0.29411764705882354,0.5294117647058824,0.058823529411764705,0,0,0.0,16.0,1.0625,1196,7.087573705557973,0-30 (Hot),5.0,3.0,5.0,13.0,11.13689293754577,7.087573705557973,68657,12.0,60+,3
Master,0,49389,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,63,65,0.0013160825284982,2,304,3,16463.0,21.666666666666668,0.6666666666666666,0.6153846153846154,0.0,0.2923076923076923,0.03076923076923077,0.015384615384615385,0.046153846153846156,5,0.4674556213017752,0.6615384615384615,5,13.0,0.4,0.0,0.6,0.2,0,0,0.0,10.0,0.5,65,4.189654742026425,31-90 (Warm),3.0,2.0,2.0,7.0,10.807503253534671,4.189654742026425,0,25.200000000000003,60+,2
PhD,1,67353,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,44,913,0.0135554466764657,1,180,3,22451.0,304.3333333333333,0.3333333333333333,0.768893756845564,0.018619934282584884,0.16538882803943045,0.0,0.008762322015334063,0.038335158817086525,5,0.6204441383976611,0.8072289156626506,23,39.69565217391305,0.21739130434782608,0.2608695652173913,0.5217391304347826,0.21739130434782608,0,0,0.0,6.0,3.8333333333333335,913,6.81783057145415,31-90 (Warm),4.0,5.0,4.0,13.0,11.117717571314712,6.81783057145415,67353,9.565217391304348,30-44,3
2n Cycle,1,23718,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,38,81,0.0034151277510751,1,300,3,7906.0,27.0,0.3333333333333333,0.07407407407407407,0.037037037037037035,0.1728395061728395,0.18518518518518517,0.08641975308641975,0.4444444444444444,6,0.27602499618960524,0.5185185185185185,6,13.5,0.5,0.16666666666666666,0.3333333333333333,0.5,0,0,0.0,10.0,0.6,81,4.406719247264253,31-90 (Warm),2.0,2.0,2.0,6.0,10.074031693706946,4.406719247264253,23718,19.0,30-44,0
Graduation,0,42429,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,41,67,0.0015791086285323,1,138,2,21214.5,33.5,0.5,0.8208955223880597,0.0,0.08955223880597014,0.029850746268656716,0.0,0.05970149253731343,4,0.6863443974159057,0.8805970149253731,5,13.4,0.2,0.2,0.6,0.4,0,0,0.0,5.0,1.0,67,4.219507705176107,>90 (Cold),1.0,3.0,2.0,6.0,10.65561093819637,4.219507705176107,0,8.200000000000001,30-44,1
PhD,0,48948,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,71,902,0.0184277192122252,0,513,1,48948.0,902.0,0.0,0.4844789356984479,0.008869179600886918,0.22838137472283815,0.17738359201773837,0.05432372505543237,0.04656319290465632,6,0.3235406905570769,0.5310421286031042,22,41.0,0.3181818181818182,0.45454545454545453,0.22727272727272727,0.09090909090909091,1,1,0.2,17.0,1.2941176470588236,902,6.805722553416985,31-90 (Warm),3.0,4.0,4.0,11.0,10.79853421874079,6.805722553416985,0,22.59090909090909,60+,2
Graduation,1,80011,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,34,1395,0.0174351026733824,1,426,3,26670.333333333332,465.0,0.3333333333333333,0.3017921146953405,0.05448028673835126,0.3842293906810036,0.05878136200716846,0.12759856630824373,0.07311827956989247,6,0.26676173224907185,0.374910394265233,19,73.42105263157895,0.42105263157894735,0.3157894736842105,0.2631578947368421,0.10526315789473684,0,0,0.0,14.0,1.3571428571428572,1395,7.241366283322318,0-30 (Hot),5.0,4.0,5.0,14.0,11.289931902407144,7.241366283322318,80011,14.315789473684209,30-44,4
Master,1,20559,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,29,53,0.0025779463981711,1,474,3,6853.0,17.666666666666668,0.3333333333333333,0.24528301886792453,0.018867924528301886,0.5471698113207547,0.05660377358490566,0.0,0.1320754716981132,5,0.38056247775008895,0.37735849056603776,5,10.6,0.4,0.0,0.6,0.4,0,0,0.0,16.0,0.3125,53,3.9889840465642745,31-90 (Warm),1.0,1.0,1.0,3.0,9.931102719569102,3.9889840465642745,20559,11.600000000000001,18-29,0
Graduation,1,21994,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,57,22,0.0010002728016731,1,552,3,7331.333333333333,7.333333333333333,0.3333333333333333,0.4090909090909091,0.0,0.2727272727272727,0.13636363636363635,0.045454545454545456,0.13636363636363635,5,0.2809917355371901,0.5454545454545454,3,7.333333333333333,0.0,0.0,1.0,0.3333333333333333,0,0,0.0,18.0,0.16666666666666666,22,3.1354942159291497,0-30 (Hot),5.0,1.0,1.0,7.0,9.99857043378282,3.1354942159291497,21994,0.0,45-59,0
Master,1,7500,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,39,31,0.0041333333333333,1,270,3,2500.0,10.333333333333334,0.3333333333333333,0.0967741935483871,0.03225806451612903,0.3225806451612903,0.0967741935483871,0.06451612903225806,0.3870967741935484,6,0.27783558792924035,0.4838709677419355,5,6.2,0.4,0.0,0.6,0.6,0,0,0.0,9.0,0.5555555555555556,31,3.4657359027997265,0-30 (Hot),5.0,2.0,1.0,8.0,8.922791623969637,3.4657359027997265,7500,15.600000000000001,30-44,0
Graduation,0,79941,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,38,984,0.0123090779449844,0,1,1,79941.0,984.0,0.0,0.125,0.16666666666666666,0.2703252032520325,0.2306910569105691,0.03048780487804878,0.17682926829268292,6,0.2018949534007535,0.3018292682926829,15,65.6,0.13333333333333333,0.26666666666666666,0.6,0.06666666666666667,0,0,0.0,0.0,,984,6.892641641172089,31-90 (Warm),2.0,,4.0,6.0,11.289056650716423,6.892641641172089,0,5.066666666666666,30-44,4
2n Cycle,1,7500,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,18,122,0.0162666666666666,0,597,2,3750.0,61.0,0.0,0.02459016393442623,0.14754098360655737,0.11475409836065574,0.12295081967213115,0.18032786885245902,0.4098360655737705,6,0.25114216608438594,0.4344262295081967,7,17.428571428571427,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,0,0,0.0,20.0,0.35,122,4.812184355372417,0-30 (Hot),4.0,1.0,2.0,7.0,8.922791623969637,4.812184355372417,7500,7.7142857142857135,18-29,0
Graduation,1,41728,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,46,55,0.0013180598159509,1,401,3,13909.333333333334,18.333333333333332,0.3333333333333333,0.23636363636363636,0.10909090909090909,0.2727272727272727,0.05454545454545454,0.09090909090909091,0.23636363636363636,6,0.2092561983471074,0.4727272727272727,4,13.75,0.5,0.0,0.5,0.25,0,0,0.0,13.0,0.3076923076923077,55,4.02535169073515,>90 (Cold),1.0,1.0,1.0,3.0,10.638951609723101,4.02535169073515,41728,23.0,45-59,1
PhD,1,72550,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,60,1319,0.0181805651274982,2,598,4,18137.5,329.75,0.5,0.6262319939347991,0.03790750568612585,0.2403335860500379,0.03790750568612585,0.02880970432145565,0.02880970432145565,6,0.45446069891209206,0.6550416982562547,19,69.42105263157895,0.2631578947368421,0.10526315789473684,0.631578947368421,0.47368421052631576,0,0,0.0,20.0,0.95,1319,7.1853870155804165,31-90 (Warm),4.0,3.0,5.0,12.0,11.19204504181486,7.1853870155804165,72550,15.789473684210526,60+,4
Graduation,0,65486,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,57,507,0.0077421128180069,1,48,2,32743.0,253.5,0.5,0.4832347140039448,0.03747534516765286,0.2465483234714004,0.07297830374753451,0.13214990138067062,0.027613412228796843,6,0.31925819590817317,0.5108481262327417,16,31.6875,0.25,0.125,0.625,0.0625,0,0,0.0,2.0,8.0,507,6.230481447578482,0-30 (Hot),4.0,5.0,3.0,12.0,11.089606928642473,6.230481447578482,0,14.25,45-59,3
